"","sample_ID","output_read_count","output_asv_count","output_num_tax_assigned"
"239","e04182_B",2316,2,2
"240","e04182_C",5607,1,1
"241","e04183_A",0,0,0
"242","e04183_B",0,0,0
"243","e04183_C",666,2,2
"244","e04184_A",0,0,0
"245","e04184_B",0,0,0
"246","e04184_C",0,0,0
"247","e04185_A",0,0,0
"248","e04185_B",2667,1,1
"249","e04185_C",0,0,0
"250","e04186_A",0,0,0
"251","e04186_B",83,1,1
"252","e04186_C",2,1,1
"253","e04187_A",97,1,1
"254","e04187_B",0,0,0
"255","e04187_C",0,0,0
"256","e04188_A",2919,2,2
"257","e04188_B",4475,1,1
"258","e04188_C",3015,1,1
"259","e04189_A",0,0,0
"260","e04189_B",0,0,0
"261","e04189_C",1149,1,1
"262","e04190_A",4906,1,1
"263","e04190_B",8108,2,2
"264","e04190_C",335,2,2
"265","e04191_A",2987,2,2
"266","e04191_B",1181,1,1
"267","e04191_C",0,0,0
"268","e04192_A",5886,3,2
"269","e04192_B",2558,2,2
"270","e04192_C",4787,1,1
"271","e04193_A",2118,2,2
"272","e04193_B",0,0,0
"273","e04193_C",525,2,2
"274","e04194_A",13292,3,3
"275","e04194_B",3,1,1
"276","e04194_C",12776,4,4
"277","e04195_A",1625,4,4
"278","e04195_B",1794,5,3
"279","e04195_C",2506,3,3
"280","e04196_A",16313,3,3
"281","e04196_B",20366,3,3
"282","e04196_C",25539,5,5
"283","e04197_A",7509,5,5
"284","e04197_B",4085,4,4
"285","e04197_C",6525,5,5
"286","e04198_A",12382,5,5
"287","e04198_B",16898,6,5
"288","e04198_C",15042,6,6
"289","e04199_A",3048,3,3
"290","e04199_B",1763,3,2
"291","e04199_C",4379,1,1
"292","e04200_A",110,6,6
"293","e04200_B",13305,5,5
"294","e04200_C",21096,6,6
"295","e04201_A",10398,3,3
"296","e04201_B",13883,6,6
"297","e04201_C",18637,4,4
"298","e04202_A",1710,3,3
"299","e04202_B",275,2,2
"300","e04202_C",5466,3,3
"301","e04203_A",2047,9,9
"302","e04203_B",10868,3,3
"303","e04203_C",8927,4,4
"304","e04204_A",8135,5,5
"305","e04204_B",9840,4,4
"306","e04204_C",7569,3,3
"307","e04205_A",10291,4,4
"308","e04205_B",6464,3,3
"309","e04205_C",7281,3,3
"310","e04206_A",3469,3,3
"311","e04206_B",714,2,2
"312","e04206_C",3718,2,2
"313","e04207_A",26,4,4
"314","e04207_B",2684,3,3
"315","e04207_C",0,0,0
"316","e04208_A",5,2,2
"317","e04208_B",4,1,1
"318","e04208_C",2,1,1
"319","e04209_A",1867,4,4
"320","e04209_B",6,2,2
"321","e04209_C",3679,4,4
"322","e04210_A",15194,9,8
"323","e04210_B",1886,3,3
"324","e04210_C",22,3,3
"325","e04211_A",10280,10,9
"326","e04211_B",2518,4,4
"327","e04211_C",3239,2,2
"328","e04212_A",3317,1,1
"329","e04212_B",1651,1,1
"330","e04212_C",0,0,0
"331","e04213_A",2,1,1
"332","e04213_B",1020,3,3
"333","e04213_C",2138,3,3
"334","e04214_A",0,0,0
"335","e04214_B",2132,1,1
"336","e04214_C",960,1,1
"337","e04215_A",7,1,1
"338","e04215_B",789,4,4
"339","e04215_C",0,0,0
"340","e04216_A",0,0,0
"341","e04216_B",9,1,1
"342","e04216_C",1061,2,2
"343","e04217_A",4,2,2
"344","e04217_B",85,5,5
"345","e04217_C",11972,3,3
"346","e04218_A",21,3,3
"347","e04218_B",1421,3,3
"348","e04218_C",0,0,0
"349","e04219_A",0,0,0
"350","e04219_B",32,1,1
"351","e04219_C",0,0,0
"352","e04220_A",2,1,1
"353","e04220_B",7000,2,2
"354","e04220_C",0,0,0
"355","e04221_A",564,4,4
"356","e04221_B",55,3,3
"357","e04221_C",93,3,3
"358","e04222_A",5659,6,5
"359","e04222_B",1259,5,4
"360","e04222_C",1219,4,4
"361","e04223_A",15,2,2
"362","e04223_B",14,1,1
"363","e04223_C",3,1,1
"364","e04224_A",561,1,1
"365","e04224_B",594,3,3
"366","e04224_C",8298,3,3
"367","e04225_A",4470,6,4
"368","e04225_B",1153,2,2
"369","e04225_C",187,2,2
"370","e04226_A",12003,8,8
"371","e04226_B",2738,4,3
"372","e04226_C",2692,4,4
"373","e04227_A",6596,4,4
"374","e04227_B",9230,3,3
"375","e04227_C",3969,2,2
"376","e04228_A",4792,1,1
"377","e04228_B",3312,3,3
"378","e04228_C",3684,3,3
"379","e04229_A",0,0,0
"380","e04229_B",0,0,0
"381","e04229_C",14697,3,3
"382","e04230_A",7803,8,8
"383","e04230_B",1043,2,2
"384","e04230_C",11,2,2
"385","e04231_A",3378,4,3
"386","e04231_B",2407,4,4
"387","e04231_C",0,0,0
"388","e04232_A",9518,4,4
"389","e04232_B",55,2,2
"390","e04232_C",0,0,0
"391","e04233_A",6024,9,9
"392","e04233_B",8347,6,6
"393","e04233_C",8252,6,6
"394","e04234_A",24735,10,9
"395","e04234_B",17391,6,5
"396","e04234_C",14061,5,5
"397","e04235_A",51,7,7
"398","e04235_B",13444,14,13
"399","e04235_C",1980,6,6
"400","e04236_A",6955,6,6
"401","e04236_B",17693,10,9
"402","e04236_C",9189,4,4
"403","e04237_A",14395,12,11
"404","e04237_B",14047,7,6
"405","e04237_C",8050,6,5
"406","e04238_A",24079,10,7
"407","e04238_B",9834,7,5
"408","e04238_C",15214,5,5
"409","e04239_A",26,6,6
"410","e04239_B",1135,7,7
"411","e04239_C",219,3,3
"412","e04240_A",12090,9,9
"413","e04240_B",7303,7,6
"414","e04240_C",916,2,2
"415","e04241_A",400,6,6
"416","e04241_B",26,1,1
"417","e04241_C",119,4,4
"418","e04242_A",6,2,2
"419","e04242_B",6708,5,4
"420","e04242_C",670,4,4
"421","e04243_A",1091,9,8
"422","e04243_B",3193,5,5
"423","e04243_C",0,0,0
"424","e04244_A",13573,5,4
"425","e04244_B",2405,3,2
"426","e04244_C",1064,2,2
"427","e04245_A",1065,6,6
"428","e04245_B",3258,4,4
"429","e04245_C",1549,4,4
"430","e04246_A",1726,9,8
"431","e04246_B",3581,4,4
"432","e04246_C",131,2,2
"433","e04247_A",3138,6,6
"434","e04247_B",3929,7,7
"435","e04247_C",274,3,3
"436","e04248_A",4,2,2
"437","e04248_B",2,1,1
"438","e04248_C",3374,3,3
"439","e04249_A",11771,11,10
"440","e04249_B",11610,10,8
"441","e04249_C",8101,7,7
"442","e04250_A",3,1,1
"443","e04250_B",7,1,1
"444","e04250_C",16,2,2
"445","e04251_A",10,3,3
"446","e04251_B",5,1,1
"447","e04251_C",13,1,1
"448","e04252_A",13,2,2
"449","e04252_B",3,1,1
"450","e04252_C",23,1,1
"451","e04253_A",10707,8,8
"452","e04253_B",14294,5,5
"453","e04253_C",24506,6,3
"454","e04254_A",7,1,1
"455","e04254_B",22,2,2
"456","e04254_C",13,1,1
"457","e04255_A",7,2,2
"458","e04255_B",3,1,1
"459","e04255_C",0,0,0
"460","e04256_A",10,3,3
"461","e04256_B",27,1,1
"462","e04256_C",13,1,1
"463","e04257_A",6,2,2
"464","e04257_B",24,1,1
"465","e04257_C",23,1,1
"466","e04258_A",15706,16,15
"467","e04258_B",10891,9,9
"468","e04258_C",10438,8,6
"469","e04259_A",8096,9,8
"470","e04259_B",14762,15,14
"471","e04259_C",18934,8,7
"472","e04260_A",8937,11,10
"473","e04260_B",13701,9,8
"474","e04260_C",3099,3,3
"475","NC34_A",0,0,0
"476","NC34_B",0,0,0
"477","NC34_C",20131,1,1
"478","NC35_A",0,0,0
"479","NC35_B",0,0,0
"480","NC35_C",0,0,0
"481","PC34_A",49116,1,1
"482","PC34_B",55610,1,1
"483","PC34_C",51093,1,1
"484","PC35_A",0,0,0
"485","PC35_B",8,1,1
"486","PC35_C",0,0,0
